paramSet_01.txt	paramSet_02.txt	paramSet_03.txt	paramSet_04.txt	paramSet_05.txt	paramSet_06.txt	paramSet_07.txt	paramSet_08.txt	paramSet_09.txt	paramSet_10.txt	paramSet_11.txt	paramSet_12.txt	paramSet_13.txt	paramSet_14.txt	paramSet_15.txt	paramSet_16.txt	paramSet_17.txt	paramSet_18.txt	paramSet_19.txt	paramSet_20.txt
32093.6    	284186     	5353.25    	23763.4    	19954.5    	6.04463e+26	2231.97    	5380.24    	8.98493e+07	51385.4    	21663.3    	966776     	7.97776e+09	105902     	134373     	1989.47    	69955      	5818.51    	2.40468e+06	1.30687e+08
23291      	3.24093e+30	9786.23    	31831      	14736.5    	8.84083e+25	5688.7     	1585.59    	171947     	39276.1    	13134.6    	12070.7    	9.17961e+09	315975     	32275.4    	6412.04    	2848.15    	28039.5    	388277     	2.58948e+08
840125     	11065.6    	1246.37    	20945.7    	3338.04    	1.81339e+27	7977.53    	1522.86    	159094     	7903.6     	5688.49    	5067.14    	1.66879e+06	730504     	5.27212e+06	5424.91    	16594.6    	30971      	4.8061e+06 	2.66475e+08
18824.6    	205623     	1420.1     	17828.1    	26502.2    	6.90586e+26	2606.23    	3.35642e+06	109742     	11506.6    	22470      	25424      	7.93117e+08	88713      	2.25008e+06	726803     	74161.2    	453765     	2.69919e+06	2.27583e+13
408491     	3.24093e+30	1594.08    	7111.8     	87864.7    	6.06748e+26	12710.6    	847.198    	141742     	6795.14    	28156.7    	2379.53    	9.50099e+09	90069.9    	740298     	3831.74    	50103.2    	13656.5    	1.31965e+06	9.53504e+07
54011.4    	129582     	1313.42    	11055.8    	2311.71    	1.77123e+26	7904.72    	2.97745e+06	145222     	8324.23    	7845.79    	1424.85    	9.72818e+09	819834     	138511     	2383.96    	1594.76    	1239.35    	1.25512e+06	5.31012e+07
4731.31    	357569     	31222.2    	314073     	5418.19    	1.20893e+27	25126.4    	1982.83    	2.61637e+07	13009.6    	207352     	2712.06    	7366.61    	1.25924e+06	917615     	8378.47    	73260.6    	1349.03    	1.20809e+07	1.18603e+08
13717      	106928     	10984.5    	2.16023e+06	43858      	6.0088e+25 	5182.67    	15906.8    	71009.9    	4871.66    	5214.05    	2033.81    	3.22606e+08	41946.4    	221359     	6034.73    	22111.9    	7645.41    	1.31044e+06	4.03112e+07
18684      	7639.01    	2507.47    	3025.1     	3276.56    	1.98823e+27	6997.63    	1255.34    	567613     	17930.2    	39873.8    	2405.47    	1.66546e+06	99719.2    	1.91407e+06	18814      	2359.36    	16004.8    	471967     	1.74137e+08
4.90287e+06	1.56538e+07	5960.05    	6641.15    	9548.52    	2.41785e+27	31414.7    	2434.79    	222283     	32779.1    	873715     	1655.63    	3.22603e+08	564466     	86541.9    	5457.97    	24241      	18802.8    	1.26673e+11	8.83881e+07
3898.38    	2.15252e+07	4106.37    	20720      	15949.7    	1.30747e+07	56710.1    	1301.69    	285836     	806761     	29470.7    	6280.96    	3.22607e+08	287600     	494532     	7248.89    	20971      	8259.03    	1.29134e+06	5.72998e+12
23132.5    	2.25862e+08	16230.8    	31676.7    	511949     	1.72062e+06	7287.82    	5788.63    	541334     	1377.39    	9541.88    	69003.4    	1.50363e+06	47521      	53040.3    	6546.44    	28673.1    	2904.86    	3.31426e+06	1.11426e+08
6122.47    	10307.9    	1607.01    	17989.5    	23411.2    	6.04463e+26	2145.41    	1389.51    	5.06299e+07	5494.32    	25162      	9245.73    	1.68432e+06	246726     	824111     	2504.14    	43383.8    	4.8189e+09 	281847     	6.39477e+10
5409.91    	1.12951e+08	2009.26    	3662.92    	217924     	6.04463e+26	8015.9     	2.40892e+06	60045.9    	8329.98    	1279.49    	77935.8    	4108.8     	58351.6    	102802     	7153.47    	18591.3    	2.02152e+06	982866     	8.05617e+07
33673      	570748     	1253.12    	11893.4    	35882.7    	6.64551e+26	43060      	4920.57    	57835      	15994.6    	295802     	5041.67    	20609.7    	12514.1    	93061      	34683.1    	26933.2    	86176.6    	1.14581e+08	8.98529e+07
4674.27    	4.14359e+11	1605.32    	16397.3    	25079.6    	1.20893e+27	366155     	46433.5    	1.56723e+13	12800.8    	8379       	7726.71    	5.5368e+07 	254740     	253150     	23125      	6415.41    	9142.71    	3.48816e+06	1.90313e+07
4.46686e+06	75658      	4.29122e+08	53844      	470984     	1.20893e+27	7427.66    	1932.04    	1.47755e+07	2.60391e+06	3.90632e+06	41926.3    	1.81632e+10	11071.3    	280726     	10487.4    	53522.3    	420827     	1.53356e+09	4.60478e+07
