paramSet_01.txt	paramSet_02.txt	paramSet_03.txt	paramSet_04.txt	paramSet_05.txt	paramSet_06.txt	paramSet_07.txt	paramSet_08.txt	paramSet_09.txt	paramSet_10.txt	paramSet_11.txt	paramSet_12.txt	paramSet_13.txt	paramSet_14.txt	paramSet_15.txt	paramSet_16.txt	paramSet_17.txt	paramSet_18.txt	paramSet_19.txt	paramSet_20.txt
258.889	257.288	284.23 	292.712	276.466	314.039	252.861	276.438	219.886	277.541	261.519	286.537	283.391	275.799	272.22 	296.453	267.651	273.357	230.558	286.425
258.618	257.223	284.23 	292.289	276.125	313.797	252.499	276.181	219.886	277.541	261.519	285.999	282.907	275.799	271.259	295.148	267.651	273.357	230.557	286.425
258.087	257.223	284.23 	292.712	275.378	313.797	252.381	276.181	219.827	277.539	258.816	285.257	282.907	275.799	271.355	295.148	267.651	273.267	230.545	286.425
258.087	257.223	284.175	291.928	275.331	313.276	251.995	276.181	219.377	277.413	258.816	284.822	282.88 	275.03 	271.347	295.148	267.651	273.267	230.543	286.425
258.087	257.223	284.175	291.872	273.983	313.276	251.995	276.181	219.377	276.756	257.303	284.822	282.711	275.03 	271.347	295.148	267.366	273.267	230.543	286.425
257.905	257.223	284.175	291.872	274.786	312.662	251.313	276.181	219.069	276.756	257.303	284.822	282.711	275.03 	271.347	295.148	267.366	272.876	230.543	286.425
258.087	257.223	283.964	291.872	274.707	312.662	251.313	276.181	218.537	276.756	257.149	284.822	282.704	275.03 	271.316	295.148	267.261	272.876	230.013	286.425
257.843	257.223	283.964	291.757	274.002	312.662	251.294	276.168	218.537	276.818	256.506	284.045	281.225	274.321	271.316	295.148	267.261	272.876	228.919	286.425
257.177	257.223	283.964	291.757	274.002	312.662	251.294	276.118	218.491	276.818	256.127	284.045	281.225	274.321	271.281	295.129	267.261	272.747	228.559	286.425
257.177	256.922	283.48 	291.623	273.97 	312.662	250.959	276.118	218.536	276.696	255.895	283.369	281.173	274.114	271.275	294.822	267.261	272.238	228.559	286.425
255.413	256.922	283.48 	291.493	273.817	312.501	250.792	276.118	218.255	276.696	255.209	283.369	280.798	274.114	271.275	294.822	267.261	272.238	228.559	286.425
255.413	256.922	283.48 	291.493	273.817	312.501	250.628	276.118	218.255	276.554	254.794	283.369	280.798	274.106	271.275	294.822	267.261	272.238	228.088	286.425
255.413	256.922	283.48 	291.146	273.149	312.069	250.474	276.118	218.083	275.184	254.794	283.369	279.828	274.106	271.275	294.822	267.261	272.238	228.088	286.425
254.556	256.922	282.439	291.146	273.149	311.937	250.474	276.118	218.083	275.184	253.764	282.382	279.8  	274.105	271.275	294.822	267.261	272.238	228.088	286.425
254.556	255.723	282.439	291.146	273.149	311.926	250.33 	276.118	217.948	275.063	253.764	282.382	279.8  	273.963	271.177	294.822	267.261	272.238	227.674	286.425
254.556	255.723	282.439	291.146	273.101	311.926	250.022	276.118	217.87 	275.063	253.486	281.603	277.145	273.963	270.972	294.822	266.917	272.238	227.674	286.425
254.353	255.723	282.001	290.763	273.149	311.926	249.844	276.118	217.87 	275.063	252.61 	281.603	277.145	273.904	270.972	294.599	266.917	272.238	226.361	286.425
254.353	255.723	282.001	290.763	272.899	311.926	249.844	276.116	217.82 	275.063	252.503	281.603	277.102	273.904	270.972	294.599	266.917	272.224	226.361	286.425
254.02 	255.723	282.001	290.763	272.979	311.926	249.785	276.109	216.688	275.063	252.454	281.603	277.078	273.724	270.972	294.599	266.917	272.183	225.969	286.425
253.876	255.723	282.001	289.819	272.121	311.926	249.73 	276.089	216.688	275.085	251.776	281.483	276.397	273.72 	270.972	294.599	266.917	272.183	225.969	286.425
253.837	255.723	282.001	289.819	272.121	311.81 	249.73 	276.089	216.688	274.257	251.776	281.483	276.114	273.68 	270.972	294.577	266.917	272.109	225.969	286.425
253.242	255.723	281.603	289.819	272.084	311.774	249.73 	276.089	216.563	273.614	251.592	281.445	276.114	273.68 	270.972	294.577	266.659	272.109	225.969	286.425
253.231	255.723	281.603	289.543	272.084	311.393	249.558	274.981	216.15 	273.614	251.592	281.445	276.114	273.564	270.972	294.577	266.659	272.056	225.969	286.425
253.231	255.723	281.372	288.967	272.048	311.393	249.558	274.816	216.15 	273.614	251.592	280.946	276.114	273.564	270.972	294.577	266.659	272.056	225.958	286.425
253.231	255.723	281.372	288.967	272.048	311.346	249.104	274.816	216.15 	273.614	251.362	279.767	276.114	273.541	270.972	294.307	266.659	271.876	225.911	286.425
253.231	255.723	281.372	289.478	271.943	311.346	249.104	274.78 	216.016	273.614	251.362	279.767	276.114	273.419	270.972	294.439	266.659	271.876	225.619	286.425
253.231	255.723	281.219	289.219	271.943	311.346	249.069	274.78 	216.016	273.614	251.116	279.767	276.038	273.419	270.881	294.439	266.552	271.607	225.623	286.425
253.231	255.179	281.129	289.219	271.943	311.346	249.029	274.744	215.693	273.614	251.116	279.588	276.038	273.305	270.881	294.439	266.552	271.607	225.616	286.425
252.729	255.723	281.169	288.6  	271.929	311.346	249.093	274.667	215.693	273.614	250.881	279.588	276.038	273.27 	270.773	294.404	266.05 	271.607	225.616	286.425
252.729	255.723	281.154	288.6  	271.521	311.346	248.835	274.667	215.449	273.614	250.881	279.588	276.038	273.27 	270.773	294.404	266.05 	271.607	225.521	286.425
252.646	255.723	280.855	288.6  	271.521	311.346	248.699	274.667	215.449	273.614	250.881	279.376	276.004	273.27 	270.773	294.404	266.05 	271.607	225.521	286.425
252.729	255.723	280.855	287.609	270.316	311.346	248.699	274.667	215.449	273.549	250.699	279.376	276.004	273.234	270.773	294.404	266.05 	271.607	225.521	286.425
252.729	254.457	280.737	286.954	270.316	311.346	248.254	274.667	215.449	273.449	250.684	279.376	275.993	273.143	270.773	294.404	266.05 	271.553	225.521	286.425
252.546	254.457	280.737	286.954	270.316	311.283	248.243	274.588	215.449	273.449	250.164	278.19 	275.993	273.05 	270.76 	294.397	266.05 	271.473	224.997	286.425
252.546	254.457	280.488	286.951	270.302	311.283	246.618	274.588	215.214	273.449	250.185	278.19 	275.793	272.031	270.76 	294.397	266.05 	271.473	224.997	286.425
252.487	254.457	280.684	286.951	270.259	311.283	246.618	274.588	214.101	273.392	250.112	277.919	275.742	272.031	270.76 	294.19 	266.05 	271.017	224.997	286.425
252.343	254.457	280.629	286.625	270.237	309.366	246.618	274.467	214.101	273.392	250.183	278.157	275.742	272.031	270.545	294.397	266.05 	271.017	224.847	286.425
252.343	254.457	280.459	286.322	270.143	309.366	246.618	274.226	214.101	273.392	250.178	277.324	275.685	272.031	270.545	294.397	266.05 	271.017	224.847	286.425
252.183	254.457	280.459	286.322	270.143	309.366	246.33 	272.612	214.101	273.374	250.178	277.324	275.626	272.031	270.76 	294.397	266.05 	270.944	224.124	286.425
251.875	254.457	280.459	286.294	270.139	309.365	246.257	272.612	214.101	273.374	250.034	277.324	275.522	271.875	270.638	294.397	266.05 	268.119	224.124	286.425
251.875	254.457	280.095	286.294	269.443	309.36 	245.961	272.573	214.08 	272.978	250.034	277.324	275.505	270.881	270.638	294.397	265.698	268.119	224.124	286.425
251.751	254.457	280.095	286.009	269.443	309.36 	245.961	272.522	214.101	272.978	249.943	277.207	275.469	271.137	270.759	294.397	265.698	268.119	223.613	286.425
251.652	254.457	280.043	285.361	269.443	308.793	245.961	272.573	214.101	272.848	249.796	277.154	275.469	271.137	270.759	294.397	265.698	268.062	223.613	286.425
251.324	254.457	280.043	285.361	268.756	308.793	245.961	272.212	214.101	272.848	249.851	276.884	275.469	270.454	270.754	294.397	265.698	268.062	223.613	286.425
251.324	254.359	279.906	285.361	268.756	308.793	245.832	272.212	213.982	271.808	249.851	276.496	275.452	270.367	270.754	294.397	265.698	268.062	223.613	286.425
251.14 	254.359	279.298	285.361	268.756	308.357	245.873	272.212	213.982	271.808	249.851	276.496	275.452	270.454	270.634	294.397	265.59 	268.062	223.376	286.425
250.332	254.359	279.298	285.349	268.756	308.295	245.56 	272.062	213.982	271.662	249.778	276.096	275.419	270.454	270.634	294.397	265.59 	268.062	223.187	286.425
250.332	254.359	279.276	285.189	268.057	308.295	245.56 	271.796	213.982	271.808	249.778	275.923	274.474	270.397	270.626	294.397	265.59 	268.035	223    	286.425
